ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q5314460,Duncan MacIntyre (New Zealand politician),1972-02-09,1972-12-08,,Q4476097
2,Q4476097,Joe Walding,1972-12-08,1974-09-10,Q5314460,Q1583625
3,Q1583625,Whetu Tirikatene-Sullivan,1974-09-10,1975-12-12,Q4476097,Q7920127
4,Q7920127,Venn Young,1975-12-12,1981-02-12,Q1583625,Q5239979
5,Q5239979,David Thomson (New Zealand politician),1981-02-12,1984-07-26,Q7920127,Q2176939
6,Q2176939,Russell Marshall,1984-07-26,1986-02-17,Q5239979,Q597909
7,Q597909,Phil Goff,1986-02-17,1987-08-24,Q2176939,Q1385100
8,Q1385100,Geoffrey Palmer (politician),1987-08-24,1990-11-02,Q597909,Q7519940
9,Q7519940,Simon Upton,1990-11-02,1999-12-10,Q1385100,Q6761913
10,Q6761913,Marian Hobbs,1999-12-10,2005-10-19,Q7519940,Q5231322
11,Q5231322,David Benson-Pope,2005-10-19,2007-07-27,Q6761913,Q15196319
,Q15196319,David Parker (New Zealand politician),2007-07-27,2007-10-31,Q5231322,Q7839303
12,Q7839303,Trevor Mallard,2007-10-31,2008-11-19,Q15196319,Q976339
13,Q976339,Nick Smith (New Zealand politician),2008-11-19,2012-03-21,Q7839303,Q5106549
,Q5106549,Chris Finlayson,2012-03-21,2012-04-02,Q976339,Q4451142
14,Q4451142,Amy Adams (politician),2012-04-03,2014-10-06,Q5106549,Q976339
,Q976339,Nick Smith (New Zealand politician),2014-10-08,2017-10-26,Q4451142,Q15196319
15,Q15196319,David Parker (New Zealand politician),2017-10-26,,Q976339,
